brand_name,company_name,industry_name,kmeans_cluster,hierarchical_cluster,dbscan_cluster,segment_label,initial_greenwashing_level,scope12_total,revenues,country_of_origin,electric_vehicles_percent,major_sustainability_award_last5y
Atwater Brewery,Molson Coors Beverage Company,Alcoholic Beverages,0,0,-1,CL-01,0.0,872621,10280,United States,1,0
Auden,Target,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,1671179,109120,United States,1,0
Audrey's,Premium Brands Holdings Corp.,Processed Foods,0,0,-1,CL-01,0.0,81984,6300,United States,1,0
Aunt Nellie's Farm Kitchen,Seneca Foods Corporation,Processed Foods,3,0,-1,CL-01,1.0,0,1385,United States,1,0
Auntie Anne's,J&J Snack Foods Corp.,Processed Foods,3,0,-1,CL-01,1.0,0,1145,United States,1,0
Aussie,Procter & Gamble Company,Household & Personal Products,0,0,-1,CL-01,0.0,2315748,80187,United States,1,0
Austin,Kellogg,Processed Foods,3,0,-1,CL-01,0.0,909000,14181,United States,1,0
Austin Blues,Hormel Foods Corp.,"Meat, Poultry & Dairy",0,0,1,CL-01,0.0,657906,11386,United States,1,0
Australian Longline,Nissui,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,6000,Australia,1,0
Autan,"S. C. Johnson & Son, Inc.",Household & Personal Products,3,0,-1,CL-01,1.0,0,11000,Netherlands,1,0
Autovit,Soriana,Food Retailers & Distributors,0,0,3,CL-01,0.0,937508,157000,Poland,1,0
Ava & Viv,Target,Multiline and Specialty Retailers & Distributors,0,0,-1,CL-01,0.0,1671179,109120,United States,1,0
Aveda,Estée Lauder Companies Inc.,Household & Personal Products,3,0,-1,CL-01,0.6,30800,17737,United States,1,0
Aveeno,Johnson & Johnson,Biotechnology & Pharmaceuticals,1,0,-1,CL-01,0.0,442880,93775,United States,1,0
Avelox,Bayer,Biotechnology & Pharmaceuticals,1,0,4,CL-01,1.0,0,51558,Germany,1,0
Awapuhi Wild Ginger,John Paul Mitchell Systems,Household & Personal Products,0,0,1,CL-01,1.0,0,925,United States,1,0
Axelrod,HP Hood LLC,Processed Foods,0,0,-1,CL-01,1.0,0,2700,United States,1,0
Ayudin,Clorox Company,Household & Personal Products,0,0,-1,CL-01,0.0,91887,7107,China,1,0
B&C Food Distributors,Premium Brands Holdings Corp.,Processed Foods,0,0,0,CL-01,0.0,81984,6300,United States,1,0
B&G Condiments,B&G Foods Inc.,Processed Foods,3,0,-1,CL-01,0.0,86441,2056,United States,1,0
B&G Foods,B&G Foods Inc.,Processed Foods,3,0,-1,CL-01,0.0,86441,2056,United States,1,0
B&M,B&G Foods Inc.,Processed Foods,3,0,-1,CL-01,0.0,86441,2056,United States,1,0
Baby Basics,Schnuck Markets Inc.,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,3200,United States,1,0
Baby Essentials,Soriana,Food Retailers & Distributors,0,0,-1,CL-01,0.0,937508,157000,United States,1,0
Baby Ruth,Ferrero Group,Processed Foods,3,0,-1,CL-01,0.6,547505,12700,United States,1,0
Babyganics,"S. C. Johnson & Son, Inc.",Household & Personal Products,0,0,-1,CL-01,1.0,0,11000,United States,1,0
Bacardi Specialty Malt Beverages,Anheuser-Busch InBev,Alcoholic Beverages,3,0,-1,CL-01,0.0,3680000,57800,Puerto Rico,1,0
Baci,Nestle,Processed Foods,0,0,-1,CL-01,0.0,3470000,105520,Italy,1,0
Back to Nature,B&G Foods Inc.,Processed Foods,0,0,-1,CL-01,0.0,86441,2056,United States,1,0
Back to Nature Meals,Kraft Heinz,Processed Foods,0,0,-1,CL-01,0.0,959333,26042,United States,1,0
Bacon 1,Hormel Foods Corp.,"Meat, Poultry & Dairy",0,0,-1,CL-01,0.0,657906,11386,United States,1,0
Baeren Marke,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,Germany,1,0
